segmentid,templateid,storeid,name,description,type,statusend,createdat,customerid,sendat
9E2C65A1-05Bc-4896-902F-E3Bec38Ca1B9,Cfbb9C54-6131-4Ede-B394-6Cfd2B5B407E,01Ac4Ec3-F7E0-451D-Ab31-2Db1799816Ca,Promover Almoço,Campanha Para Promover Almoço,1,2,2025-07-19 00:24:02.830000+00:00,D6Eb7Af9-9071-4342-93E6-B2B559538288,2025-08-01 14:15:53.997000+00:00
D7F18A0D-7Bcb-49C0-B44D-86Dce7D12578,0807Ac90-8501-4Faf-Abaf-F81C4Bb8451D,8Cc52834-D064-4C6A-8E08-8F33D4811872,Combo Familia,Combo Familia,1,2,2025-12-02 22:08:22.588000+00:00,7Bb6B09C-93A8-4702-Bd15-07D1A29Ea119,2025-12-18 21:38:19.002000+00:00
8Cfa67Af-83Af-4C2A-B61E-4Ad80Be6E261,59905Afd-F186-4D77-81C2-Aa2E2820B7F3,0D860437-8F2F-4437-A866-811Bd07Ac367,Clientes Com 1 Pedido,,1,2,2025-12-02 01:24:24.701000+00:00,4Ea8E93C-071C-4E36-A04A-040C070Fef38,2026-01-18 23:03:39.257000+00:00
3Af992Cf-5E55-488A-959D-F5B3E8F15A72,614Bc2C3-F7Af-496C-B869-Ba2B8F926815,Fd5Bc963-Ff69-40C4-B5D8-1709E233Fe02,Campanha Para Clientes 30+ Sem Pedir,Campanha Para Clientes 30+ Sem Pedir,1,2,2025-10-08 23:02:34.216000+00:00,D9Afa894-6618-48F4-A8C1-Cd076Db594E3,2025-12-13 16:18:57.647000+00:00
7E433960-Aac5-40Eb-Bd57-8049179D1Fe0,88B215Af-A945-4789-9136-6238C9D314Fe,0D860437-8F2F-4437-A866-811Bd07Ac367,Clientes +30 Dias Sem Pedi,,1,2,2025-12-02 01:25:23.106000+00:00,249C8D04-2748-4220-A00F-27Cb6C5F0719,2025-12-18 23:14:36.252000+00:00
3Bcd7E20-3844-42C0-A0Ff-38D04520F4E2,3B564226-6Ed3-4Fdf-999F-98C868B0A2Cf,0D860437-8F2F-4437-A866-811Bd07Ac367,Clientes Recentes -30D,,1,2,2025-12-02 01:24:56.487000+00:00,3D386B27-Ae2F-4E91-B915-Eb02Edab1D20,2025-12-19 01:03:08.134000+00:00
D7F18A0D-7Bcb-49C0-B44D-86Dce7D12578,0807Ac90-8501-4Faf-Abaf-F81C4Bb8451D,8Cc52834-D064-4C6A-8E08-8F33D4811872,Combo Familia,Combo Familia,1,2,2025-12-02 22:08:22.588000+00:00,A9Fcb68E-Be1A-42A9-917F-3Cbce7651D2A,2025-12-12 21:35:49.517000+00:00
A07D7Ddb-A162-4854-B1E2-10Fe72B34477,2B248C67-59D9-4B29-93F1-357901F69895,B6Bc362F-Cb27-44Ac-A9C8-5E9B08263F86,Campanha De Divulgação De Almoço,Aumentar Pedidos No Período De Almoço Da Semana Passada (Exceto Ifood).,1,7,2025-08-18 19:23:37.279000+00:00,418C9Fb5-3946-45D3-A32A-4Dba469Baa43,2025-08-21 19:25:50.466000+00:00
88Fb145F-E032-46E0-A13C-65Deb1D6C747,Fc9539Ed-6777-4178-B26F-52Aaa9C871D7,B6Bc362F-Cb27-44Ac-A9C8-5E9B08263F86,1 Pedido (Esfihadoce10),1 Pedido (Esfihadoce10),1,2,2025-12-03 22:25:55.953000+00:00,394D7958-C097-460B-8F36-464A16Ff745A,2026-01-03 23:12:18.865000+00:00
3Bcd7E20-3844-42C0-A0Ff-38D04520F4E2,3B564226-6Ed3-4Fdf-999F-98C868B0A2Cf,0D860437-8F2F-4437-A866-811Bd07Ac367,Clientes Recentes -30D,,1,2,2025-12-02 01:24:56.487000+00:00,3867Bbf9-A9A1-4612-A746-294B63C6Ba0A,2025-12-18 22:53:01.134000+00:00
